DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId,Temperature [2 m elevation corrected],Relative Humidity [2 m],Precipitation Total,Cloud Cover Total,Sunshine Duration,Shortwave Radiation,Wind Speed [10 m],Wind Direction [10 m],Wind Gust,Longitude,Latitude,Confirmed,Ccases
3/1/2020,1,3,2020,0,0,India,IN,19.7092,87,0,22,30.0766,14.24,4.30382,68.19859,7.56,19.0760° N,72.8777° E,3,3
3/2/2020,2,3,2020,0,0,India,IN,23.0292,71,0,10,53.61702,214.48999,6.07486,52.125,8.64,19.0760° N,72.8777° E,5,2
3/3/2020,3,3,2020,2,0,India,IN,25.0792,62,0,10,53.61702,386.25998,7.90719,32.61923,10.44,19.0760° N,72.8777° E,5,0
3/4/2020,4,3,2020,1,0,India,IN,27.1492,46,0,10,53.61702,622.11,5.33466,2.86241,12.24,19.0760° N,72.8777° E,28,23
3/5/2020,5,3,2020,22,0,India,IN,30.0292,33,0,0,60,924.70996,11.76994,264.80557,18.36,19.0760° N,72.8777° E,30,2
3/6/2020,6,3,2020,1,0,India,IN,29.3792,36,0,0,60,881.1,14.71242,264.80557,20.16,19.0760° N,72.8777° E,31,1
3/7/2020,7,3,2020,2,0,India,IN,28.5992,37,0,0,60,774.3,16.00397,267.1376,20.88,19.0760° N,72.8777° E,34,3
3/8/2020,8,3,2020,3,0,India,IN,27.8392,38,0,0,60,606.98,15.7176,270,21.6,19.0760° N,72.8777° E,39,5
3/10/2020,10,3,2020,10,0,India,IN,26.7492,40,0,0,60,394.27,14.1418,273.2397,19.8,19.0760° N,72.8777° E,43,4
3/11/2020,11,3,2020,6,0,India,IN,24.7192,48,0,0,60,157.53,11.70342,281.8215,18.36,19.0760° N,72.8777° E,56,13
3/12/2020,12,3,2020,23,0,India,IN,21.9592,62,0,0,16.35,3.56,7.50189,286.50436,12.24,19.0760° N,72.8777° E,62,6
3/13/2020,13,3,2020,2,1,India,IN,28.9492,35,0,10,53.61702,749.38,18.1152,270,21.6,19.0760° N,72.8777° E,73,11
3/14/2020,14,3,2020,8,1,India,IN,27.6692,40,0,10,53.61702,477.03998,17.5824,270,21.96,19.0760° N,72.8777° E,82,9
3/15/2020,15,3,2020,7,0,India,IN,22.6292,67,0,1,59.3617,236.73999,0.96052,33.69006,4.68,19.0760° N,72.8777° E,102,20
3/16/2020,16,3,2020,3,0,India,IN,25.1492,61,0,0,60,459.24,4.1613,320.19446,8.28,19.0760° N,72.8777° E,119,17
3/17/2020,17,3,2020,32,1,India,IN,27.6092,47,0,0,60,655.04,5.60074,295.3462,9.36,19.0760° N,72.8777° E,142,23
3/18/2020,18,3,2020,12,0,India,IN,29.3492,42,0,0,60,804.56,8.89154,278.61566,12.96,19.0760° N,72.8777° E,156,14
3/19/2020,19,3,2020,28,0,India,IN,23.2892,86,0,100,0,0,1.88373,8.1301,12.96,19.0760° N,72.8777° E,194,38
